vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
1,52,1233,-23.64151681425172,-46.54210469718399,39.176,8
1,68,6497,-23.66217601387846,-46.53464565474054,39.914,8
1,33,17775,-23.662566512592033,-46.52741092389907,40.602,8
1,51,16387,-23.668750634745244,-46.52712259784171,40.602,8
1,56,865,-23.668750634745244,-46.52712259784171,42.084,8
1,70,7852,-23.679574407438395,-46.51863356160204,44.001,8
1,63,15066,-23.691027058051727,-46.504557561076766,44.001,8
1,3,10787,-23.691027058051727,-46.504557561076766,44.818,8
1,69,812,-23.69470364807545,-46.51149665000868,45.606,8
1,6,3295,-23.70171457660069,-46.51267210796927,45.606,8
1,2,15468,-23.70171457660069,-46.51267210796927,46.549,8
1,31,10220,-23.709584934024686,-46.509238729110194,48.335,8
1,66,7002,-23.70816,-46.526713532892806,49.908,8
1,24,18090,-23.69435956040603,-46.523333577785976,52.087,8
1,41,12231,-23.69177231154794,-46.54454980744708,52.498,8
9,0,depot,-23.688319,-46.543115,0.972,8
9,62,4534,-23.68698516287448,-46.552552123595405,4.46,8
9,19,4705,-23.701554051907166,-46.58289107894293,5.408,8
9,8,16233,-23.710014533181273,-46.58174395098847,7.251,8
9,55,8005,-23.72650754342439,-46.57996607380704,9.069,8
9,30,6451,-23.736530458234686,-46.59407643484908,10.996,8
9,11,7556,-23.734006069508023,-46.57535099999998,13.208,8
9,54,12320,-23.7409648815278,-46.55499681266942,16.891,8
9,49,17301,-23.70785448456366,-46.556180165898496,18.25,8
9,22,13375,-23.708508755236668,-46.5428547991372,18.25,8
9,57,4519,-23.708508755236668,-46.5428547991372,18.949,8
9,10,6812,-23.710734612960934,-46.54928061402915,20.835,8
9,20,9920,-23.719823491922494,-46.564917738308495,21.804,8
9,40,11155,-23.72720451154119,-46.55985059750278,21.804,8
9,61,11210,-23.72720451154119,-46.55985059750278,21.804,8
9,1,14874,-23.72720451154119,-46.55985059750278,23.412,8
9,60,4188,-23.7409648815278,-46.55499681266942,25.385,8
9,28,4842,-23.7272988298661,-46.5426312027365,27.313,8
9,48,9712,-23.74062577909457,-46.53052021940046,27.313,8
9,39,17869,-23.74062577909457,-46.53052021940046,29.152,8
9,12,4243,-23.757162227081686,-46.53052181369978,33.234,8
9,46,5259,-23.79307498998135,-46.538863081885786,40.533,8
9,65,5686,-23.758929481404017,-46.60012438270614,41.404,8
9,9,18678,-23.75317933083273,-46.594322740205335,44.71,8
9,35,10880,-23.72650754342439,-46.57996607380704,44.71,8
9,38,3391,-23.72650754342439,-46.57996607380704,46.391,8
9,58,2373,-23.71546076889537,-46.591243173504466,48.156,8
9,67,16951,-23.701554051907166,-46.58289107894293,49.544,8
9,21,2933,-23.70540496744501,-46.5699240313636,49.544,8
9,27,4080,-23.70540496744501,-46.5699240313636,49.544,8
9,32,2097,-23.70540496744501,-46.5699240313636,49.544,8
9,59,5129,-23.70540496744501,-46.5699240313636,49.945,8
