vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
8,36,5731,-23.54774227061568,-46.63488111172018,68.128,1
8,57,3456,-23.535453394396647,-46.63170629156326,70.477,1
8,21,9968,-23.520905455450425,-46.64840659893825,72.256,1
8,5,14577,-23.52011919677996,-46.66584000098096,72.584,1
8,49,10259,-23.51877961656762,-46.668707598923476,74.458,1
8,12,205,-23.531294001384985,-46.656404093946584,74.839,1
8,70,9431,-23.528899184286484,-46.653736572999,75.456,1
8,13,9457,-23.532545509160926,-46.64917499278664,76.277,1
8,6,1635,-23.536609489728185,-46.64244480598998,76.656,1
8,38,4163,-23.540014461697165,-46.64255169727044,77.242,1
8,48,17490,-23.54488036525475,-46.64032833172723,78.138,1
8,10,18104,-23.552916506520862,-46.63970305438866,79.22,1
8,74,2970,-23.556049111529205,-46.64974666729382,79.577,1
8,30,11604,-23.555909891482465,-46.65324841993188,80.261,1
8,55,16254,-23.561264556754605,-46.6565542389636,80.969,1
8,34,9545,-23.55936593311784,-46.66318410115993,81.507,1
8,45,6235,-23.555200641958606,-46.66050841271853,81.759,1
8,0,depot,-23.536945,-46.440287,2.141,2
8,12,4851,-23.55366239523337,-46.4506999200761,3.567,2
8,57,16055,-23.56127544240869,-46.461969257046256,4.98,2
8,50,13236,-23.561779395363267,-46.47581652435226,8.938,2
8,49,13224,-23.52654805689883,-46.470250561197986,9.935,2
8,1,1168,-23.53020479226018,-46.46133008992108,9.935,2
8,42,10992,-23.53020479226018,-46.46133008992108,11.302,2
8,32,9229,-23.521612107132555,-46.45173418220901,11.302,2
8,37,9492,-23.521612107132555,-46.45173418220901,13.403,2
8,31,8578,-23.52960143498142,-46.43306049653755,14.477,2
8,59,16513,-23.525928445809033,-46.42331801276761,14.477,2
8,23,7438,-23.525928445809033,-46.42331801276761,18.595,2
8,29,8409,-23.515929819498652,-46.38442694097974,20.513,2
8,43,11050,-23.52950364869192,-46.39602647668647,21.935,2
8,10,3802,-23.53429039869583,-46.40896852400602,21.935,2
8,56,15518,-23.53429039869583,-46.40896852400602,25.359,2
8,64,18715,-23.56261319494366,-46.42215450874258,28.991,2
8,38,9584,-23.58842508053926,-46.400317814599866,35.678,2
8,2,1473,-23.612151111575955,-46.46061464709449,38.389,2
8,55,15514,-23.631443999999995,-46.44433953212821,38.389,2
8,8,3189,-23.631443999999995,-46.44433953212821,41.051,2
8,7,2701,-23.611780236467784,-46.42944024103548,42.781,2
8,11,4094,-23.597059321816026,-46.42393709638021,45.298,2
8,60,16552,-23.606234096460447,-46.44652093991286,46.194,2
8,44,11574,-23.601163594090814,-46.45334981108343,48.041,2
8,62,17133,-23.61393187580963,-46.4649462867267,53.002,2
8,20,6416,-23.57130234332621,-46.47930265361119,54.119,2
8,3,1548,-23.561779395363267,-46.47581652435226,55.531,2
8,63,18122,-23.56127544240869,-46.461969257046256,55.531,2
8,52,13817,-23.56127544240869,-46.461969257046256,56.958,2
8,61,16712,-23.55366239523337,-46.4506999200761,57.746,2
8,54,15469,-23.54728786526333,-46.45407726810551,59.315,2
8,33,9305,-23.537648462115527,-46.46532176686477,60.238,2
8,19,6226,-23.53020479226018,-46.46133008992108,61.234,2
8,13,5080,-23.52654805689883,-46.470250561197986,61.234,2
8,40,10747,-23.52654805689883,-46.470250561197986,62.059,2
8,5,2178,-23.532730842215358,-46.47473002631366,63.501,2
8,6,2693,-23.542106217871797,-46.48449763988115,64.373,2
8,36,9455,-23.53427773688614,-46.483931310286145,65.664,2
8,15,5743,-23.523772565271575,-46.47854706155314,68.433,2
8,39,10237,-23.499367396618357,-46.473125500144235,70.383,2
8,22,7200,-23.51095281071334,-46.45877560283338,71.769,2
8,45,12243,-23.521612107132555,-46.45173418220901,72.436,2
8,30,8485,-23.523153631975287,-46.44540787343005,72.436,2
8,25,7589,-23.523153631975287,-46.44540787343005,72.436,2
8,18,6060,-23.523153631975287,-46.44540787343005,74.379,2
8,9,3722,-23.517932266160944,-46.42721775000001,75.728,2
8,27,7743,-23.507709684430715,-46.43432963308613,76.576,2
8,4,1852,-23.500115235082802,-46.43507516395927,78.889,2
8,14,5575,-23.48567220483005,-46.41874072189959,80.815,2
8,21,6612,-23.502729436580296,-46.42199569191893,81.673,2
8,41,10792,-23.502454910352583,-46.413583616711854,81.673,2
8,16,5933,-23.502454910352583,-46.413583616711854,82.142,2
8,46,12262,-23.504739368494633,-46.40971787093889,83.345,2
8,47,12299,-23.49718835332407,-46.401278495008334,85.646,2
8,24,7445,-23.49564161780837,-46.378772315631096,87.147,2
8,26,7648,-23.505951081949277,-46.369277342349946,91.675,2
8,51,13795,-23.518119818590403,-46.411662038028695,93.711,2
8,58,16493,-23.52950364869192,-46.39602647668647,97.812,2
8,17,5960,-23.56633470996594,-46.39814502331353,101.176,2
8,35,9454,-23.553851651826356,-46.428213677765605,102.322,2
8,34,9311,-23.54361066874891,-46.426992162992654,102.322,2
8,53,15267,-23.54361066874891,-46.426992162992654,103.692,2
8,28,8214,-23.54875465139367,-46.43921144171619,104.831,2
8,48,13214,-23.539675631138568,-46.44437114131387,105.346,2
8,0,depot,-23.551862,-46.767959,0.529,3
8,29,15916,-23.54780870664772,-46.76524741316207,1.773,3
8,31,17946,-23.544593319175966,-46.75355603886542,2.875,3
8,19,9175,-23.554169413266777,-46.75076613405276,3.935,3
8,12,5538,-23.563412528997674,-46.75332052553523,4.162,3
8,22,11039,-23.565310145161252,-46.752511185815685,4.874,3
8,20,9680,-23.571700239800336,-46.75205680045006,7.94,3
8,27,14861,-23.599267257454205,-46.751214070160025,9.837,3
8,26,12766,-23.58526374725023,-46.74059246298307,11.239,3
8,1,596,-23.572649523579493,-46.74067446211552,13.506,3
8,33,18095,-23.55267310851753,-46.74507716985977,13.506,3
8,35,19189,-23.55267310851753,-46.74507716985977,15.171,3
8,4,1553,-23.543369802772908,-46.73227360417187,16.534,3
8,3,1130,-23.54175424071731,-46.71901756512136,17.989,3
8,5,1832,-23.530663706921843,-46.72659391479598,18.322,3
8,2,794,-23.531363832361933,-46.72976400972352,18.817,3
8,11,5176,-23.527214475445724,-46.7315398082117,19.578,3
8,21,10087,-23.52773504312137,-46.73898242102839,22.29,3
8,34,19093,-23.535843212083293,-46.76406620886582,24.115,3
9,0,depot,-23.551862,-46.767959,3.351,3
9,18,8911,-23.536161365543215,-46.79602109908249,6.335,3
9,24,11791,-23.557895128357476,-46.813187263845634,6.335,3
9,15,6889,-23.557895128357476,-46.813187263845634,11.275,3
9,14,6326,-23.59662287793669,-46.78943079323671,12.341,3
9,7,3293,-23.587340805153268,-46.79203581141435,13.942,3
9,16,7515,-23.57297189117152,-46.79301217659699,14.862,3
9,30,17801,-23.575649045999562,-46.80155392181534,17.165,3
9,28,15428,-23.557895128357476,-46.813187263845634,17.165,3
9,13,5590,-23.557895128357476,-46.813187263845634,18.907,3
9,10,5140,-23.542230926930625,-46.81346159318365,20.904,3
9,25,12125,-23.530227432973618,-46.798892025535224,25.032,3
9,23,11408,-23.493128523067647,-46.79722321940412,26.03,3
9,8,5048,-23.492952011368303,-46.78744234076533,30.353,3
9,17,8822,-23.53162576464306,-46.79178255926477,32.374,3
9,6,3199,-23.549405830832715,-46.78764712281436,33.102,3
9,32,18050,-23.548093596716548,-46.78065511809683,33.754,3
9,9,5113,-23.542756575076453,-46.778011050522174,35.194,3
1,0,depot,-23.731552,-46.68921,0.771,4
1,19,8179,-23.738481942552912,-46.689273183045735,1.561,4
1,39,15832,-23.74467630571586,-46.68546268932597,3.511,4
1,15,6281,-23.742963020543556,-46.66639273175025,5.677,4
1,18,8066,-23.75540171490374,-46.682765544405335,6.874,4
1,11,4289,-23.765979551109357,-46.68494030682672,8.112,4
1,38,15539,-23.77255875590049,-46.69475623431819,11.662,4
1,31,11966,-23.74398649570083,-46.71031943672453,11.662,4
1,28,10623,-23.74398649570083,-46.71031943672453,12.706,4
1,7,2676,-23.735142305690715,-46.71375343505108,12.91,4
1,46,18919,-23.734667412534634,-46.71569694172146,14.963,4
1,6,2372,-23.72156783666111,-46.70149392630851,19.306,4
1,4,2068,-23.68994274271452,-46.676455967943895,19.671,4
1,45,17550,-23.688890497085808,-46.673066137111185,22.726,4
1,5,2262,-23.685682206936175,-46.643269882612,25.73,4
1,3,1665,-23.707923126541914,-46.626516659732204,27.59,4
1,26,10312,-23.700391716675306,-46.642831758122206,28.699,4
1,42,16523,-23.69317443949449,-46.65034362325459,29.398,4
